"connectionID","fname","nodeA_ID","nodeB_ID","length","isIndoors","hasStairs","hasElevator","width","updated"
"1","1002","1","2","19.9693","NULL","F","F","NULL","2019-03-25 00:48:44"
"2","2003","2","3","14.7721","NULL","F","F","NULL","2019-03-25 00:48:44"
"3","3004","3","4","11.5137","NULL","F","F","NULL","2019-03-25 00:48:44"
"4","3005","3","5","12.2251","NULL","F","F","NULL","2019-03-25 00:48:44"
"5","4005","4","5","12.5351","NULL","F","F","NULL","2019-03-25 00:48:44"
"6","5006","5","6","8.6259","NULL","F","F","NULL","2019-03-25 00:48:44"
"7","6007","6","7","13.0316","NULL","F","F","NULL","2019-03-25 00:48:44"
"8","7008","7","8","15.6567","NULL","F","F","NULL","2019-03-25 00:48:44"
"9","7009","7","9","45.7328","NULL","F","F","NULL","2019-03-25 00:48:44"
"10","9010","9","10","38.3707","NULL","F","F","NULL","2019-03-25 00:48:44"
"11","10011","10","11","6.3913","NULL","F","F","NULL","2019-03-25 00:48:44"
"12","10012","10","12","16.1697","NULL","F","F","NULL","2019-03-25 00:48:44"
"13","11012","11","12","9.8273","NULL","F","F","NULL","2019-03-25 00:48:44"
"14","12013","12","13","23.5482","NULL","F","F","NULL","2019-03-25 00:48:44"
"15","12014","12","14","19.2819","NULL","F","F","NULL","2019-03-25 00:48:44"
"16","12015","12","15","30.6678","NULL","F","F","NULL","2019-03-25 00:48:44"
"17","12016","12","16","41.7191","NULL","F","F","NULL","2019-03-25 00:48:44"
"18","12017","12","17","21.7504","NULL","F","F","NULL","2019-03-25 00:48:44"
"19","12018","12","18","26.1998","NULL","F","F","NULL","2019-03-25 00:48:44"
"20","17018","17","18","5.9902","NULL","F","F","NULL","2019-03-25 00:48:44"
"21","17019","17","19","10.2046","NULL","F","F","NULL","2019-03-25 00:48:44"
"22","18019","18","19","12.8357","NULL","F","F","NULL","2019-03-25 00:48:44"
"23","19020","19","20","30.8017","NULL","F","F","NULL","2019-03-25 00:48:44"
"24","20021","20","21","11.3755","NULL","F","F","NULL","2019-03-25 00:48:44"
"25","20022","20","22","14.3577","NULL","F","F","NULL","2019-03-25 00:48:44"
"26","20023","20","23","58.692","NULL","F","F","NULL","2019-03-25 00:48:44"
"27","21023","21","23","50.0809","NULL","F","F","NULL","2019-03-25 00:48:44"
"28","22023","22","23","50.7649","NULL","F","F","NULL","2019-03-25 00:48:44"
"29","23024","23","24","8.7133","NULL","F","F","NULL","2019-03-25 00:48:44"
"30","23025","23","25","18.5402","NULL","F","F","NULL","2019-03-25 00:48:44"
"31","23026","23","26","22.936","NULL","F","F","NULL","2019-03-25 00:48:44"
"32","23027","23","27","46.3155","NULL","F","F","NULL","2019-03-25 00:48:44"
"33","27028","27","28","42.3396","NULL","F","F","NULL","2019-03-25 00:48:44"
"34","27029","27","29","40.3053","NULL","F","F","NULL","2019-03-25 00:48:44"
"35","27137","27","137","39.791","NULL","F","F","NULL","2019-03-25 00:48:44"
"36","28029","28","29","5.1577","NULL","F","F","NULL","2019-03-25 00:48:44"
"37","28030","28","30","22.3321","NULL","F","F","NULL","2019-03-25 00:48:44"
"38","28031","28","31","23.1906","NULL","F","F","NULL","2019-03-25 00:48:44"
"39","28035","28","35","31.5128","NULL","F","F","NULL","2019-03-25 00:48:44"
"40","28036","28","36","22.8022","NULL","F","F","NULL","2019-03-25 00:48:44"
"41","28137","28","137","4.6125","NULL","F","F","NULL","2019-03-25 00:48:44"
"42","30031","30","31","5.6723","NULL","F","F","NULL","2019-03-25 00:48:44"
"43","30032","30","32","29.5598","NULL","F","F","NULL","2019-03-25 00:48:44"
"44","30033","30","33","29.3053","NULL","F","F","NULL","2019-03-25 00:48:44"
"46","31033","31","33","23.6534","NULL","F","F","NULL","2019-03-25 00:48:44"
"48","32033","32","33","6.138","NULL","F","F","NULL","2019-03-25 00:48:44"
"49","32037","32","37","23.7811","NULL","F","F","NULL","2019-03-25 00:48:44"
"50","33034","33","34","5.7671","NULL","F","F","NULL","2019-03-25 00:48:44"
"51","33035","33","35","11.6458","NULL","F","F","NULL","2019-03-25 00:48:44"
"52","33037","33","37","22.0882","NULL","F","F","NULL","2019-03-25 00:48:44"
"53","34035","34","35","11.3233","NULL","F","F","NULL","2019-03-25 00:48:44"
"54","34037","34","37","16.361","NULL","F","F","NULL","2019-03-25 00:48:44"
"55","35036","35","36","11.8654","NULL","F","F","NULL","2019-03-25 00:48:44"
"56","35038","35","38","31.3507","NULL","F","F","NULL","2019-03-25 00:48:44"
"57","35039","35","39","33.7955","NULL","F","F","NULL","2019-03-25 00:48:44"
"58","37038","37","38","16.8516","NULL","F","F","NULL","2019-03-25 00:48:44"
"59","37039","37","39","16.221","NULL","F","F","NULL","2019-03-25 00:48:44"
"60","37052","37","52","88.8227","NULL","F","F","NULL","2019-03-25 00:48:44"
"61","38039","38","39","4.5398","NULL","F","F","NULL","2019-03-25 00:48:44"
"62","38040","38","40","34.8338","NULL","F","F","NULL","2019-03-25 00:48:44"
"63","38041","38","41","38.3964","NULL","F","F","NULL","2019-03-25 00:48:44"
"64","40041","40","41","4.7152","NULL","F","F","NULL","2019-03-25 00:48:44"
"65","41042","40","42","17.8959","NULL","F","F","NULL","2019-03-25 00:48:44"
"66","41043","41","43","35.4855","NULL","F","F","NULL","2019-03-25 00:48:44"
"67","41044","41","44","36.5566","NULL","F","F","NULL","2019-03-25 00:48:44"
"68","42044","42","44","19.7159","NULL","F","F","NULL","2019-03-25 00:48:44"
"69","43048","43","48","33.4996","NULL","F","F","NULL","2019-03-25 00:48:44"
"70","43052","43","52","53.829","NULL","F","F","NULL","2019-03-25 00:48:44"
"71","44045","44","45","35.1326","NULL","F","F","NULL","2019-03-25 00:48:44"
"72","44048","44","48","36.9218","NULL","F","F","NULL","2019-03-25 00:48:44"
"73","44051","44","51","34.3331","NULL","F","F","NULL","2019-03-25 00:48:44"
"74","44052","44","52","49.1359","NULL","F","F","NULL","2019-03-25 00:48:44"
"75","45046","45","46","8.7745","NULL","F","F","NULL","2019-03-25 00:48:44"
"76","45048","45","48","5.8996","NULL","F","F","NULL","2019-03-25 00:48:44"
"77","46047","46","47","4.4694","NULL","F","F","NULL","2019-03-25 00:48:44"
"78","46048","46","48","13.2323","NULL","F","F","NULL","2019-03-25 00:48:44"
"79","47048","47","48","17.5616","NULL","F","F","NULL","2019-03-25 00:48:44"
"80","48049","48","49","24.93","NULL","F","F","NULL","2019-03-25 00:48:44"
"81","49050","49","50","4.9547","NULL","F","F","NULL","2019-03-25 00:48:44"
"82","51052","51","52","15.6147","NULL","F","F","NULL","2019-03-25 00:48:44"
"83","52053","52","53","34.6684","NULL","F","F","NULL","2019-03-25 00:48:44"
"84","52054","52","54","47.0045","NULL","F","F","NULL","2019-03-25 00:48:44"
"85","53054","53","54","13.2957","NULL","F","F","NULL","2019-03-25 00:48:44"
"86","54055","54","55","21.546","NULL","F","F","NULL","2019-03-25 00:48:44"
"87","54056","54","56","26.5142","NULL","F","F","NULL","2019-03-25 00:48:44"
"88","54057","54","57","26.5306","NULL","F","F","NULL","2019-03-25 00:48:44"
"89","54124","54","124","35.7512","NULL","F","F","NULL","2019-03-25 00:48:44"
"90","54125","54","125","32.2519","NULL","F","F","NULL","2019-03-25 00:48:44"
"91","55057","55","57","6.9266","NULL","F","F","NULL","2019-03-25 00:48:44"
"92","56057","56","57","4.1571","NULL","F","F","NULL","2019-03-25 00:48:44"
"93","57058","57","58","17.8123","NULL","F","F","NULL","2019-03-25 00:48:44"
"94","57059","57","59","43.2327","NULL","F","F","NULL","2019-03-25 00:48:44"
"95","57060","57","60","47.9046","NULL","F","F","NULL","2019-03-25 00:48:44"
"96","57061","57","61","51.1754","NULL","F","F","NULL","2019-03-25 00:48:44"
"97","57079","57","79","56.9089","NULL","F","F","NULL","2019-03-25 00:48:44"
"98","57080","57","80","48.4269","NULL","F","F","NULL","2019-03-25 00:48:44"
"99","58061","58","61","38.2927","NULL","F","F","NULL","2019-03-25 00:48:44"
"100","59061","59","61","20.3636","NULL","F","F","NULL","2019-03-25 00:48:44"
"101","60061","60","61","19.7403","NULL","F","F","NULL","2019-03-25 00:48:44"
"102","61062","61","62","46.8409","NULL","F","F","NULL","2019-03-25 00:48:44"
"103","61063","61","63","48.3445","NULL","F","F","NULL","2019-03-25 00:48:44"
"105","61065","61","65","25.7538","NULL","F","F","NULL","2019-03-25 00:48:44"
"106","62063","62","63","4.3836","NULL","F","F","NULL","2019-03-25 00:48:44"
"108","65066","65","66","6.316","NULL","F","F","NULL","2019-03-25 00:48:44"
"109","65067","65","67","35.708","NULL","F","F","NULL","2019-03-25 00:48:44"
"110","65068","65","68","45.0243","NULL","F","F","NULL","2019-03-25 00:48:44"
"111","65074","65","74","18.8867","NULL","F","F","NULL","2019-03-25 00:48:44"
"112","66068","66","68","40.9511","NULL","F","F","NULL","2019-03-25 00:48:44"
"113","66074","66","74","15.0814","NULL","F","F","NULL","2019-03-25 00:48:44"
"114","67068","67","68","10.4133","NULL","F","F","NULL","2019-03-25 00:48:44"
"115","68069","68","69","34.2697","NULL","F","F","NULL","2019-03-25 00:48:44"
"116","69070","69","70","30.0746","NULL","F","F","NULL","2019-03-25 00:48:44"
"117","69071","69","71","52.4391","NULL","F","F","NULL","2019-03-25 00:48:44"
"118","71072","71","72","53.8429","NULL","F","F","NULL","2019-03-25 00:48:44"
"119","73074","73","74","7.9702","NULL","F","F","NULL","2019-03-25 00:48:44"
"120","74075","74","75","15.5265","NULL","F","F","NULL","2019-03-25 00:48:44"
"121","74076","74","76","35.0212","NULL","F","F","NULL","2019-03-25 00:48:44"
"122","76077","76","77","14.1407","NULL","F","F","NULL","2019-03-25 00:48:44"
"123","76078","76","78","18.2497","NULL","F","F","NULL","2019-03-25 00:48:44"
"124","76079","76","79","14.3346","NULL","F","F","NULL","2019-03-25 00:48:44"
"125","77078","77","78","4.114","NULL","F","F","NULL","2019-03-25 00:48:44"
"126","79080","79","80","9.8036","NULL","F","F","NULL","2019-03-25 00:48:44"
"127","79081","79","81","70.2335","NULL","F","F","NULL","2019-03-25 00:48:44"
"128","81082","81","82","21.3529","NULL","F","F","NULL","2019-03-25 00:48:44"
"129","81083","81","83","23.2441","NULL","F","F","NULL","2019-03-25 00:48:44"
"130","81084","81","84","15.0008","NULL","F","F","NULL","2019-03-25 00:48:44"
"131","82083","82","83","4.8193","NULL","F","F","NULL","2019-03-25 00:48:44"
"132","84085","84","85","8.5002","NULL","F","F","NULL","2019-03-25 00:48:44"
"133","84086","84","86","5.3238","NULL","F","F","NULL","2019-03-25 00:48:44"
"134","84087","84","87","9.3313","NULL","F","F","NULL","2019-03-25 00:48:44"
"135","84088","84","88","9.0154","NULL","F","F","NULL","2019-03-25 00:48:44"
"136","85087","85","87","12.6105","NULL","F","F","NULL","2019-03-25 00:48:44"
"137","85088","85","88","8.9211","NULL","F","F","NULL","2019-03-25 00:48:44"
"138","85135","85","135","77.6116","NULL","F","F","NULL","2019-03-25 00:48:44"
"139","86087","86","87","4.7395","NULL","F","F","NULL","2019-03-25 00:48:44"
"140","87088","87","88","4.5631","NULL","F","F","NULL","2019-03-25 00:48:44"
"141","87089","87","89","5.9452","NULL","F","F","NULL","2019-03-25 00:48:44"
"142","89090","89","90","29.187","NULL","F","F","NULL","2019-03-25 00:48:44"
"143","89091","89","91","30.1033","NULL","F","F","NULL","2019-03-25 00:48:44"
"144","91092","91","92","15.4373","NULL","F","F","NULL","2019-03-25 00:48:44"
"145","91093","91","93","20.0188","NULL","F","F","NULL","2019-03-25 00:48:44"
"146","91094","91","94","21.8994","NULL","F","F","NULL","2019-03-25 00:48:44"
"147","91095","91","95","43.3475","NULL","F","F","NULL","2019-03-25 00:48:44"
"148","92094","92","94","7.9362","NULL","F","F","NULL","2019-03-25 00:48:44"
"149","93094","93","94","4.7437","NULL","F","F","NULL","2019-03-25 00:48:44"
"150","95096","95","96","18.6973","NULL","F","F","NULL","2019-03-25 00:48:44"
"151","95097","95","97","26.6565","NULL","F","F","NULL","2019-03-25 00:48:44"
"152","95098","95","98","44.2431","NULL","F","F","NULL","2019-03-25 00:48:44"
"153","95099","95","99","53.1923","NULL","F","F","NULL","2019-03-25 00:48:44"
"154","96099","96","99","42.5345","NULL","F","F","NULL","2019-03-25 00:48:44"
"155","97099","97","99","35.48","NULL","F","F","NULL","2019-03-25 00:48:44"
"156","98099","98","99","27.8642","NULL","F","F","NULL","2019-03-25 00:48:44"
"157","99100","99","100","60.5879","NULL","F","F","NULL","2019-03-25 00:48:44"
"158","99135","99","135","49.9298","NULL","F","F","NULL","2019-03-25 00:48:44"
"159","99136","99","136","42.2337","NULL","F","F","NULL","2019-03-25 00:48:44"
"160","100101","100","101","5.9054","NULL","F","F","NULL","2019-03-25 00:48:44"
"161","100102","100","102","10.7708","NULL","F","F","NULL","2019-03-25 00:48:44"
"162","100109","100","109","15.4779","NULL","F","F","NULL","2019-03-25 00:48:44"
"163","101102","101","102","7.2964","NULL","F","F","NULL","2019-03-25 00:48:44"
"164","102103","102","103","31.2282","NULL","F","F","NULL","2019-03-25 00:48:44"
"165","102106","102","106","14.5059","NULL","F","F","NULL","2019-03-25 00:48:44"
"166","102107","102","107","7.5937","NULL","F","F","NULL","2019-03-25 00:48:44"
"167","103104","103","104","14.7081","NULL","F","F","NULL","2019-03-25 00:48:44"
"168","104105","104","105","5.6009","NULL","F","F","NULL","2019-03-25 00:48:44"
"169","104106","104","106","31.7151","NULL","F","F","NULL","2019-03-25 00:48:44"
"170","105106","105","106","27.9875","NULL","F","F","NULL","2019-03-25 00:48:44"
"171","106107","106","107","9.0034","NULL","F","F","NULL","2019-03-25 00:48:44"
"172","106108","106","108","7.12","NULL","F","F","NULL","2019-03-25 00:48:44"
"173","106109","106","109","10.4867","NULL","F","F","NULL","2019-03-25 00:48:44"
"174","108109","108","109","5.553","NULL","F","F","NULL","2019-03-25 00:48:44"
"175","109110","109","110","53.6552","NULL","F","F","NULL","2019-03-25 00:48:44"
"176","110111","110","111","5.8954","NULL","F","F","NULL","2019-03-25 00:48:44"
"177","110112","110","112","4.9732","NULL","F","F","NULL","2019-03-25 00:48:44"
"178","110118","110","118","35.2437","NULL","F","F","NULL","2019-03-25 00:48:44"
"179","111112","111","112","4.2826","NULL","F","F","NULL","2019-03-25 00:48:44"
"180","111113","111","113","47.8705","NULL","F","F","NULL","2019-03-25 00:48:44"
"181","112113","112","113","46.9803","NULL","F","F","NULL","2019-03-25 00:48:44"
"182","112114","112","114","51.0232","NULL","F","F","NULL","2019-03-25 00:48:44"
"183","112115","112","115","16.6419","NULL","F","F","NULL","2019-03-25 00:48:44"
"184","112116","112","116","37.2423","NULL","F","F","NULL","2019-03-25 00:48:44"
"185","112117","112","117","33.8485","NULL","F","F","NULL","2019-03-25 00:48:44"
"186","113114","113","114","4.2546","NULL","F","F","NULL","2019-03-25 00:48:44"
"187","115117","115","117","17.4606","NULL","F","F","NULL","2019-03-25 00:48:44"
"188","116117","116","117","5.0995","NULL","F","F","NULL","2019-03-25 00:48:44"
"189","116121","116","121","29.9645","NULL","F","F","NULL","2019-03-25 00:48:44"
"190","117118","117","118","8.437","NULL","F","F","NULL","2019-03-25 00:48:44"
"191","117119","117","119","30.0214","NULL","F","F","NULL","2019-03-25 00:48:44"
"192","117120","117","120","37.6279","NULL","F","F","NULL","2019-03-25 00:48:44"
"193","117121","117","121","33.9582","NULL","F","F","NULL","2019-03-25 00:48:44"
"195","119121","119","121","4.5104","NULL","F","F","NULL","2019-03-25 00:48:44"
"196","120121","120","121","5.9737","NULL","F","F","NULL","2019-03-25 00:48:44"
"198","124125","124","125","5.999","NULL","F","F","NULL","2019-03-25 00:48:44"
"199","124126","124","126","57.8568","NULL","F","F","NULL","2019-03-25 00:48:44"
"200","124132","124","132","28.5074","NULL","F","F","NULL","2019-03-25 00:48:44"
"201","125126","125","126","54.2291","NULL","F","F","NULL","2019-03-25 00:48:44"
"202","126127","126","127","31.9874","NULL","F","F","NULL","2019-03-25 00:48:44"
"203","126128","126","128","36.4652","NULL","F","F","NULL","2019-03-25 00:48:44"
"204","126129","126","129","40.2423","NULL","F","F","NULL","2019-03-25 00:48:44"
"205","127129","127","129","9.9797","NULL","F","F","NULL","2019-03-25 00:48:44"
"206","128129","128","129","6.0774","NULL","F","F","NULL","2019-03-25 00:48:44"
"207","132133","132","133","17.4885","NULL","F","F","NULL","2019-03-25 00:48:44"
"208","132134","132","134","5.9799","NULL","F","F","NULL","2019-03-25 00:48:44"
"209","132135","132","135","21.9232","NULL","F","F","NULL","2019-03-25 00:48:44"
"210","133134","133","134","14.665","NULL","F","F","NULL","2019-03-25 00:48:44"
"211","134135","134","135","17.8474","NULL","F","F","NULL","2019-03-25 00:48:44"
"212","135136","135","136","9.2403","NULL","F","F","NULL","2019-03-25 00:48:44"
"213","1004","1","4","38.36","T","F","F","NULL","2019-04-19 17:01:49"
"214","2004","2","4","21.11","T","F","F","NULL","2019-04-19 17:41:41"
"215","1003","1","3","34.57","T","F","F","NULL","2019-04-19 17:41:41"
"218","69138","69","138","21.06","T","F","F","NULL","2019-04-19 18:06:46"
"219","71138","71","138","31.33","T","F","F","NULL","2019-04-19 18:06:46"
"220","69139","69","139","19.08","T","F","F","NULL","2019-04-19 18:06:46"
"221","70139","70","139","16.56","T","F","F","NULL","2019-04-19 18:06:46"
"222","70140","70","140","12.02","T","F","F","NULL","2019-04-19 18:06:46"
"223","69140","69","140","32.32","T","F","F","NULL","2019-04-19 18:06:46"
"224","70141","70","141","7.935","T","F","F","NULL","2019-04-19 18:06:46"
"225","71142","71","142","18.49","T","F","F","NULL","2019-04-19 18:06:46"
"226","72142","72","142","35.35","T","F","F","NULL","2019-04-19 18:06:46"
"227","72143","72","143","14.47","T","F","F","NULL","2019-04-19 18:06:46"
"228","73143","73","143","13.65","T","F","F","NULL","2019-04-19 18:06:46"
"229","30118","30","118","119.3","T","F","F","NULL","2019-04-19 18:43:56"
"230","0006","0","6","9.376","T","F","F","NULL","2019-04-19 19:10:49"
"231","0007","0","7","21.51","T","F","F","NULL","2019-04-19 19:12:16"
