"nodeID","lat","long","elev","isIndoors","roomRegEx","buildingID","floor","nodeTypeID","updated"
"0","39.77932","-84.063555","0","T","RC [02-4]\\d{2}[A-Z]?","17","0","2","2019-04-22 12:40:05"
"1","39.7791277","-84.0630478","0","T","a^No regex for this node yet","17","0","1","2019-04-14 15:56:31"
"2","39.7791981","-84.0632625","0","T","RC 2\\d{2}[A-Z]?","17","0","2","2019-04-19 19:04:38"
"3","39.7792711","-84.0634067","0","T","RC [02-4]\\d{2}[A-Z]?","17","0","3","2019-04-19 19:04:38"
"4","39.77937","-84.0633673","0","T","a^No regex for this node yet","17","0","1","2019-04-14 15:56:31"
"5","39.7793465","-84.0635106","0","T","a^No regex for this node yet","17","0","0","2019-04-14 15:56:31"
"6","39.7794019","-84.0635811","0","T","RC 1\\d{2}[A-Z]*","17","0","0","2019-04-19 19:04:38"
"7","39.7794824","-84.0636917","0","T","a^No regex for this node yet","9","0","0","2019-04-14 15:56:31"
"8","39.7793834","-84.0638217","0","T","a^No regex for this node yet","9","0","1","2019-04-14 15:56:31"
"9","39.7796811","-84.0641596","0","T","a^No regex for this node yet","19","0","0","2019-04-14 15:56:31"
"10","39.7797892","-84.0645855","0","T","a^No regex for this node yet","19","0","0","2019-04-14 15:56:31"
"11","39.7798453","-84.0646014","0","T","a^No regex for this node yet","19","0","3","2019-04-14 15:56:31"
"12","39.7799275","-84.0646433","0","T","a^No regex for this node yet","19","0","0","2019-04-14 15:56:31"
"13","39.7798017","-84.0648646","0","T","a^No regex for this node yet","19","0","3","2019-04-14 15:56:31"
"14","39.7797825","-84.0647666","0","T","a^No regex for this node yet","19","0","2","2019-04-14 15:56:31"
"15","39.7797078","-84.0648596","0","T","a^No regex for this node yet","19","0","2","2019-04-14 15:56:31"
"16","39.7801933","-84.0649871","0","T","a^No regex for this node yet","19","0","0","2019-04-14 15:56:31"
"17","39.7800843","-84.0644916","0","T","a^No regex for this node yet","19","0","2","2019-04-14 15:56:31"
"18","39.7800902","-84.064422","0","T","a^No regex for this node yet","19","0","0","2019-04-14 15:56:31"
"19","39.7801715","-84.0645284","0","T","a^No regex for this node yet","19","0","0","2019-04-14 15:56:31"
"20","39.7804482","-84.0645268","0","T","a^No regex for this node yet","19","0","0","2019-04-14 15:56:31"
"21","39.7804666","-84.0646576","0","T","a^No regex for this node yet","19","0","3","2019-04-14 15:56:31"
"22","39.7804414","-84.0646944","0","T","a^No regex for this node yet","19","0","2","2019-04-14 15:56:31"
"23","39.7808363","-84.0649912","0","T","a^No regex for this node yet","19","0","0","2019-04-14 15:56:31"
"24","39.7808179","-84.0650902","0","T","a^No regex for this node yet","19","0","3","2019-04-14 15:56:31"
"25","39.7806963","-84.0651086","0","T","a^No regex for this node yet","19","0","3","2019-04-14 15:56:31"
"26","39.7806678","-84.0651455","0","T","a^No regex for this node yet","19","0","2","2019-04-14 15:56:31"
"27","39.7811264","-84.0646031","0","T","a^No regex for this node yet","0","0","0","2019-04-14 15:56:31"
"28","39.781393","-84.0642501","0","T","MS 0\\d{2}[A-Z]*","12","0","0","2019-04-19 04:00:04"
"29","39.7814081","-84.0643071","0","T","MS (1\\d{2}[A-Z]*|2[2-9]\\d[A-Z]?)","12","0","2","2019-04-19 04:15:21"
"30","39.7815917","-84.0642861","0","T","MS 0\\d{2}[A-Z]*","12","0","0","2019-04-19 04:00:04"
"31","39.7816001","-84.0642207","0","T","MS (1\\d{2}[A-Z]*|2[2-9]\\d[A-Z]?)","12","0","3","2019-04-19 04:15:21"
"32","39.7816697","-84.0639558","0","T","MS (1\\d{2}[A-Z]*|2[2-9]\\d[A-Z]?)","12","0","2","2019-04-19 04:15:21"
"33","39.7816152","-84.0639449","0","T","MS 0\\d{2}[A-Z]*","12","0","0","2019-04-19 04:00:04"
"34","39.7816102","-84.0638778","0","T","MS (1\\d{2}[A-Z]*|2[01]\\d[A-Z]?)","12","0","2","2019-04-19 04:15:21"
"35","39.7815129","-84.0639164","0","T","MS 0\\d{2}[A-Z]*","12","0","0","2019-04-19 04:00:04"
"36","39.7814207","-84.063986","0","T","MS (1\\d{2}[A-Z]*|2[01]\\d[A-Z]?)","12","0","3","2019-04-19 04:15:21"
"37","39.7816161","-84.0636867","0","T","a^No regex for this node yet","0","0","0","2019-04-14 15:56:31"
"38","39.7815071","-84.06355","0","T","a^No regex for this node yet","3","0","0","2019-04-14 15:56:31"
"39","39.7815423","-84.0635232","0","T","a^No regex for this node yet","3","0","2","2019-04-14 15:56:31"
"40","39.7815456","-84.0631459","0","T","a^No regex for this node yet","3","0","3","2019-04-14 15:56:31"
"41","39.7815205","-84.0631015","0","T","a^No regex for this node yet","3","0","0","2019-04-14 15:56:31"
"42","39.7816563","-84.0629942","0","T","a^No regex for this node yet","2","0","2","2019-04-14 15:56:31"
"43","39.7817183","-84.0627762","0","T","a^No regex for this node yet","2","0","3","2019-04-14 15:56:31"
"44","39.7817561","-84.0628038","0","T","a^No regex for this node yet","6","0","0","2019-04-14 15:56:31"
"45","39.7817033","-84.0623989","0","T","a^No regex for this node yet","6","0","3","2019-04-14 15:56:31"
"46","39.7817552","-84.0623217","0","T","a^No regex for this node yet","6","0","0","2019-04-14 15:56:31"
"47","39.7817837","-84.0622849","0","T","a^No regex for this node yet","6","0","2","2019-04-14 15:56:31"
"48","39.7816504","-84.0623947","0","T","a^No regex for this node yet","6","0","0","2019-04-14 15:56:31"
"49","39.7815842","-84.0621163","0","T","a^No regex for this node yet","6","0","0","2019-04-14 15:56:31"
"50","39.7816135","-84.0620727","0","T","a^No regex for this node yet","6","0","2","2019-04-14 15:56:31"
"51","39.7820613","-84.0628617","0","T","a^No regex for this node yet","2","0","2","2019-04-14 15:56:31"
"52","39.782182","-84.0629547","0","T","a^No regex for this node yet","0","0","0","2019-04-14 15:56:31"
"53","39.7824302","-84.0627099","0","T","FH [1-4]\\d{2}[A-Z]?","8","0","2","2019-04-14 23:16:32"
"54","39.7824847","-84.0625716","0","T","FH 0\\d{2}[A-Z]?","8","0","0","2019-04-14 23:16:32"
"55","39.7826456","-84.0624316","0","T","FH [1-4]\\d{2}[A-Z]?","8","0","2","2019-04-14 23:16:32"
"56","39.7826766","-84.062388","0","T","FH [1-4]\\d{2}[A-Z]?","8","0","3","2019-04-14 23:16:32"
"57","39.7826523","-84.0623511","0","T","FH 0\\d{2}[A-Z]?","8","0","0","2019-04-14 23:16:32"
"58","39.7825148","-84.0622446","0","T","FH 1\\d{2}[A-Z]?","8","0","2","2019-04-14 23:16:33"
"59","39.7823731","-84.0619998","0","T","a^No regex for this node yet","10","0","3","2019-04-14 15:56:31"
"60","39.7823446","-84.0619596","0","T","a^No regex for this node yet","10","0","2","2019-04-14 15:56:31"
"61","39.7824729","-84.0618003","0","T","a^No regex for this node yet","10","0","0","2019-04-14 15:56:31"
"62","39.7820872","-84.0615814","0","T","a^No regex for this node yet","10","0","0","2019-04-14 15:56:31"
