NodeID,Regex
53,FH [1-4]\d{2}[A-Z]?
54,FH 0\d{2}[A-Z]?
55,FH [1-4]\d{2}[A-Z]?
56,FH [1-4]\d{2}[A-Z]?
57,FH 0\d{2}[A-Z]?
58,FH 1\d{2}[A-Z]?
79,FH 0\d{2}[A-Z]?
80,FH [1-4]\d{2}[A-Z]?
81,MH 0\d{2}[A-Z]?
82,MH [1-4]\d{2}[A-Z]?
85,MH 0\d{2}[A-Z]?
86,MH [1-4]\d{2}[A-Z]?
88,MH [1-4]\d{2}[A-Z]?
91,(MH 0\d{2}[A-Z]?)|(AL 0\d{2}[A-Z]?)
92,a^this elevator doesn’t exist
93,MH [1-4]\d{2}[A-Z]?
96,AL [1-4]\d{2}[A-Z]?
97,AL [1-4]\d{2}[A-Z]?
98,AL [1-4]\d{2}[A-Z]?
99,AL 0\d{2}[A-Z]?
100,RK 0\d{2}[A-Z]?
101,RK [12]\d{2}[A-Z]?
105,RK [12]\d{2}[A-Z]?
107,RK [12]\d{2}[A-Z]?
108,RK [12]\d{2}[A-Z]?
109,RK 0\d{2}[A-Z]?
124,OH 0\d{2}[A-Z]?
125,OH [1-4]\d{2}[A-Z]?
133,OH 109
134,OH [1-4]\d{2}[A-Z]?
135,OH 0\d{2}[A-Z]?
136,OH [1-4]\d{2}[A-Z]?
